Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
24-Oct-17,715,728,714.6,719.4,722.0500408,274776,4049,198402022,52115,18.97,13.4,4.4
25-Oct-17,720,726.35,710.25,717.1,717.592827,238702,2921,171290843,34734,14.55,16.1,-2.9
26-Oct-17,717,732.85,715.15,729.45,727.0339751,277968,3937,202092180,57554,20.71,17.7,12.45
27-Oct-17,730.05,734.4,723.25,726.25,729.5341469,340133,3025,248138638,165419,48.63,11.15,-3.8
30-Oct-17,730,734.9,714,718.8,721.2817297,437508,5986,315566527,70723,16.16,20.9,-11.2
31-Oct-17,725,729.9,697,703.65,710.3564459,1096301,15324,778764482,273060,24.91,32.9,-21.35
01-Nov-17,707,717.1,703.65,707.05,710.0557794,477416,6032,338991990,126698,26.54,13.45,0.05
02-Nov-17,709.7,709.7,698,706,703.5033799,366133,6287,257575803,79385,21.68,11.7,-3.7
03-Nov-17,706,712.8,704.3,708.9,709.175869,247076,3236,175220337,46288,18.73,8.5,2.9
06-Nov-17,706.5,716,699.7,708.75,708.7476672,803653,4753,569587189,505366,62.88,16.3,2.25
07-Nov-17,710,713.5,686.85,692.55,698.9611827,331811,6119,231923009,82243,24.79,26.65,-17.45
08-Nov-17,694.8,700.5,685,691.8,691.7410467,277104,7607,191684211,57846,20.88,15.5,-3
09-Nov-17,698,705,693.7,703.3,700.4703683,217402,3348,152283659,46415,21.35,11.3,5.3
10-Nov-17,702.8,707.65,695.25,701.45,701.9039403,205591,2888,144305133,30626,14.9,12.4,-1.35
13-Nov-17,707,707,687,690.85,691.7493548,318143,5311,220075215,116890,36.74,20,-16.15
14-Nov-17,690,695,681.4,685.2,689.3118543,205596,4126,141719760,72147,35.09,13.6,-4.8
15-Nov-17,680.3,681.9,669.7,678.05,674.8048293,647884,5285,437195252,344012,53.1,12.2,-2.25
16-Nov-17,681.2,689.9,676.6,686.65,682.7195372,297330,3598,202993000,61848,20.8,13.3,5.45
17-Nov-17,692,708.5,692,701.35,703.8800654,461785,4537,325041256,89149,19.31,16.5,9.35
20-Nov-17,699.8,706.8,690.55,700.7,698.9126137,225825,3183,157831941,28953,12.82,16.25,0.9
21-Nov-17,702.2,717.95,702.2,711.25,712.9942878,445191,5466,317418640,147531,33.14,15.75,9.05
22-Nov-17,715,716.85,706.6,711.6,710.7595836,261488,3079,185855102,57781,22.1,10.25,-3.4
23-Nov-17,714,715.7,706.75,711.25,711.5510501,170509,2608,121325858,24623,14.44,8.95,-2.75
24-Nov-17,711,712.8,703.85,707.75,707.7047565,156437,1911,110711209,44767,28.62,8.95,-3.25
27-Nov-17,707,708.5,698.95,701.85,701.631884,131119,1931,91997271,38756,29.56,9.55,-5.15
28-Nov-17,702,711.9,697.8,704.25,705.9960708,219892,2932,155242888,46105,20.97,14.1,2.25
29-Nov-17,704,710.6,703,709.3,707.0082721,237426,2701,167862146,52819,22.25,7.6,5.3
30-Nov-17,706.55,707,691.4,695.15,701.0907321,148415,2401,104052381,38030,25.62,15.6,-11.4
01-Dec-17,696,698,677.5,680.7,686.0083659,295726,4195,202870510,62585,21.16,20.5,-15.3
04-Dec-17,683,692.1,681,687.7,687.8317812,224749,3178,154589505,51240,22.8,11.1,4.7
05-Dec-17,685,686.7,671.2,675.95,676.2523078,165417,3712,111863628,39014,23.59,15.5,-9.05
06-Dec-17,667.9,670,660.6,668.05,665.5647365,323882,5168,215564438,93106,28.75,9.4,0.15
07-Dec-17,669,689.6,669,687.9,681.9041405,295130,4255,201250369,65355,22.14,20.6,18.9
08-Dec-17,689.9,713,685.25,696.85,702.2275077,526914,6667,370013505,66919,12.7,27.75,6.95
11-Dec-17,701.9,706.35,695.4,700,700.5798104,248445,3537,174055551,55647,22.4,10.95,-1.9
12-Dec-17,700.85,708.25,686.75,689.2,697.6887067,356715,4144,248876027,43587,12.22,21.5,-11.65
13-Dec-17,690,693.75,676.7,682.1,685.189775,314562,4467,215534666,52125,16.57,17.05,-7.9
14-Dec-17,684,689,671.05,685.85,680.5223873,212978,3253,144936297,64049,30.07,17.95,1.85
15-Dec-17,692.2,699.7,692,694.95,695.0011357,207809,3670,144427491,70569,33.96,7.7,2.75
18-Dec-17,693,714.5,675,704.7,702.4427422,368151,4961,258604998,68704,18.66,39.5,11.7
19-Dec-17,709,712,705.25,710.3,708.9782211,204464,3397,144960523,45390,22.2,6.75,1.3
20-Dec-17,718,718,692.65,702.55,702.7342885,418341,6408,293982565,58569,14,25.35,-15.45
21-Dec-17,702,717.8,702,715.5,711.2508082,321405,4145,228599566,73874,22.98,15.8,13.5
22-Dec-17,717.4,717.4,707.2,710.6,711.3711695,180330,2555,128281563,32299,17.91,10.2,-6.8
26-Dec-17,714,724,712.75,721.4,719.0633292,265233,3804,190719324,73291,27.63,11.25,7.4
27-Dec-17,724,728.8,717.55,721.8,724.125545,221809,3387,160617563,48927,22.06,11.25,-2.2
28-Dec-17,723,737.95,723,734.65,733.1654337,682479,5354,500370012,383864,56.25,14.95,11.65
29-Dec-17,736,744.35,730,732.45,736.2186201,196766,2954,144862793,38838,19.74,14.35,-3.55
01-Jan-18,732.5,735.7,721.2,723.7,730.5998497,234152,2176,171071416,123153,52.6,14.5,-8.8
02-Jan-18,723.3,730.75,715.55,729.1,724.6305438,242884,2971,176001165,46439,19.12,15.2,5.8
03-Jan-18,732.6,736.75,730.85,733.3,733.8901523,148624,1971,109073690,22859,15.38,5.9,0.7
04-Jan-18,735.5,764,731.95,760.75,751.9834202,809719,9953,608895263,254910,31.48,32.05,25.25
05-Jan-18,760,776,760,770.3,770.6336914,437287,6662,336988095,113676,26,16,10.3
08-Jan-18,775.15,780,765.1,768.95,769.5167403,415404,4018,319660332,219444,52.83,14.9,-6.2
09-Jan-18,769,780.1,768,772.3,773.9807066,252677,3811,195567123,69312,27.43,12.1,3.3
10-Jan-18,772,775,762.7,771.85,766.8925022,563323,2910,432008185,393842,69.91,12.3,-0.15
11-Jan-18,771.55,777.6,768.2,771.6,772.5257161,306637,2305,236884968,150232,48.99,9.4,0.05
12-Jan-18,771.2,776.45,760,771.05,769.9941838,205116,2589,157938127,25051,12.21,16.45,-0.15
15-Jan-18,774,792.55,771.5,783.2,785.390907,301747,4776,236989350,68563,22.72,21.05,9.2
16-Jan-18,782,783,760.75,766.3,768.9020862,208847,3014,160582894,29548,14.15,22.25,-15.7
17-Jan-18,768.1,777.15,757,774.25,767.9486296,179286,3088,137682438,33182,18.51,20.15,6.15
18-Jan-18,777,779.75,746.65,751.85,757.2979014,347558,5094,263204944,55527,15.98,33.1,-25.15
19-Jan-18,752,762,742.7,751.65,751.5876055,453539,4127,340874291,244103,53.82,19.3,-0.35
22-Jan-18,753.3,756.25,747.9,752.1,751.8793044,242486,3950,182320205,72651,29.96,8.35,-1.2
23-Jan-18,753.8,786.85,752.9,780.05,777.5912305,566258,9206,440317255,133740,23.62,33.95,26.25
24-Jan-18,780,780.95,754.85,763.4,767.0311276,310271,5228,237987515,74234,23.93,26.1,-16.6
25-Jan-18,767,773.25,759.15,769,765.977553,280572,3561,214911854,63631,22.68,14.1,2
29-Jan-18,770,790.6,770,782.75,784.7131277,469505,6131,368426737,126306,26.9,20.6,12.75
30-Jan-18,779.05,783.65,771.75,775.55,776.179069,346749,3938,269139316,100594,29.01,11.9,-3.5
31-Jan-18,732.5,747.25,702.05,705.05,719.24649,981772,10483,706136065,425907,43.38,45.2,-27.45
01-Feb-18,706.25,712.65,682.2,696.3,696.0587963,666215,9179,463724811,136963,20.56,30.45,-9.95
02-Feb-18,690,692.5,666,669.7,681.4116622,468418,7463,319185488,104077,22.22,26.5,-20.3
05-Feb-18,664,673.8,650.8,664.55,662.1203892,335030,4948,221830194,51001,15.22,23,0.55
06-Feb-18,639.05,679.25,634.4,664.95,652.9558503,909156,10534,593638729,142893,15.72,44.85,25.9
07-Feb-18,666.5,682.05,656.95,660.55,667.507758,445348,7852,297273245,88506,19.87,25.1,-5.95
08-Feb-18,660.9,676.9,654,671.35,666.4014176,756043,7996,503828127,258958,34.25,22.9,10.45
