Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
27-Feb-19,506,511.95,498.9,505.85,506.3609922,489246,7024,247735090,55536,11.35,13.05,-0.15
28-Feb-19,505.8,510.5,499.4,501.3,505.8675997,601222,7329,304138730,57057,9.49,11.1,-4.5
01-Mar-19,503.9,509.75,502.75,507.15,506.6203499,428002,4560,216834523,51534,12.04,7,3.25
05-Mar-19,509,522.8,505.2,521.5,516.4541383,537823,10035,277760914,120258,22.36,17.6,12.5
06-Mar-19,526.5,526.5,516.05,518.8,520.0392097,531577,6065,276440883,94096,17.7,10.45,-7.7
07-Mar-19,522,523.25,513.75,520.7,519.8481672,489117,4707,254266576,77007,15.74,9.5,-1.3
08-Mar-19,519,519,506.3,508.05,512.0791521,361557,4002,185145802,57811,15.99,12.7,-10.95
11-Mar-19,509,522.4,508.5,520.8,519.0840713,1160503,7322,602398622,546875,47.12,13.9,11.8
12-Mar-19,523.3,530,519.95,524.15,525.7502052,592066,5612,311278821,189552,32.02,10.05,0.85
13-Mar-19,524.1,524.15,512.35,513.6,516.4424964,493482,5468,254855076,135590,27.48,11.8,-10.5
14-Mar-19,514.05,522,513.45,517.8,517.1142866,544876,4149,281763164,148996,27.34,8.55,3.75
15-Mar-19,518.9,520.75,512.5,515.55,516.178792,348058,3390,179660158,54370,15.62,8.25,-3.35
18-Mar-19,520.9,526,515.6,524.65,521.3407119,460072,5479,239854264,83109,18.06,10.4,3.75
19-Mar-19,526.6,531.8,520.65,526.25,527.4116623,599382,4763,316121057,201113,33.55,11.15,-0.35
20-Mar-19,525.25,526,511.3,513.55,517.3330634,447074,5071,231286162,76098,17.02,14.7,-11.7
22-Mar-19,515.3,524,515.3,518.15,519.6910511,298127,4012,154933934,47501,15.93,8.7,2.85
25-Mar-19,513.55,518,507,515.65,511.9472313,320796,3807,164230624,65754,20.5,11,2.1
26-Mar-19,515.7,520.5,514.3,519.35,517.813455,231601,2417,119926114,44976,19.42,6.2,3.65
27-Mar-19,519.35,523,513.1,515.9,517.4509139,258943,3841,133990292,39923,15.42,9.9,-3.45
28-Mar-19,514.85,516.5,505.6,507,510.4724959,253344,5411,129325144,85279,33.66,10.9,-7.85
29-Mar-19,511,524.95,509,520.85,518.658412,492125,6606,255244771,83052,16.88,15.95,9.85
01-Apr-19,527,543.95,527,534.7,537.9455669,891718,11297,479695745,153954,17.26,16.95,7.7
02-Apr-19,539.3,539.3,526.3,531.1,530.5007407,249778,4216,132507414,37005,14.82,13,-8.2
03-Apr-19,535.25,546.7,533.25,535.4,540.61944,689723,9029,372877662,94369,13.68,13.45,0.15
04-Apr-19,537,537,527.1,530.55,531.3469273,321442,4515,170797219,40020,12.45,9.9,-6.45
05-Apr-19,532,550,532,548.35,542.9843289,584260,11968,317244024,108737,18.61,18,16.35
08-Apr-19,552.75,557.45,546.6,549.05,551.2882423,498688,6955,274920831,71406,14.32,10.85,-3.7
09-Apr-19,550.05,553.9,540.5,551.8,547.5131228,316205,5982,173126387,48037,15.19,13.4,1.75
10-Apr-19,553,558.75,541.8,544.2,550.8753424,442829,5617,243943577,66224,14.95,16.95,-8.8
11-Apr-19,541.6,546.4,534.8,537.15,539.4335593,356694,4694,192412714,50347,14.11,11.6,-4.45
12-Apr-19,538.7,542.9,532.4,533.75,535.7158056,286684,7094,153581150,63999,22.32,10.5,-4.95
15-Apr-19,536.05,554.45,536.05,552,548.8951068,660491,7693,362540278,99430,15.05,18.4,15.95
16-Apr-19,552.45,556.75,549.4,552.65,553.2990273,365592,4614,202281698,40795,11.16,7.35,0.2
18-Apr-19,553,555,537.15,542.85,543.6462408,282811,4106,153749137,49542,17.52,17.85,-10.15
22-Apr-19,542.05,545.6,534.45,535.3,538.4280136,187730,2990,101079091,41557,22.14,11.15,-6.75
23-Apr-19,535.6,539.1,521.7,523.8,529.0420339,280131,4221,148201074,41653,14.87,17.4,-11.8
24-Apr-19,527.85,527.85,513.2,525.3,520.5740923,450661,8305,234602441,74107,16.44,14.65,-2.55
25-Apr-19,523.3,529.35,509,510.9,518.0262526,479496,6775,248391516,145347,30.31,20.35,-12.4
26-Apr-19,520,548,516,545,538.9298867,1974391,27271,1064058318,223282,11.31,32,25
30-Apr-19,545.8,559,535.85,556.45,548.9231037,914647,11849,502070870,106132,11.6,23.15,10.65
02-May-19,556,560.35,549.3,554.85,554.9026707,560900,7399,311244908,57818,10.31,11.05,-1.15
03-May-19,552.5,555.3,545.85,547.6,549.4692517,287658,4035,158059226,36803,12.79,9.45,-4.9
06-May-19,532.95,542.8,527.75,535.55,535.4163053,491250,7273,263023260,69622,14.17,15.05,2.6
07-May-19,540,543.95,529.3,530.65,536.6124583,264387,3487,141873358,31183,11.79,14.65,-9.35
08-May-19,532,532.65,521.1,523.5,526.7157496,288376,4062,151892181,34077,11.82,11.55,-8.5
09-May-19,521.5,526.8,516.35,518.95,521.2237975,268591,3714,139996021,44720,16.65,10.45,-2.55
10-May-19,522.45,526,479.75,487.3,492.6352867,2639835,35791,1300475872,544756,20.64,46.25,-35.15
13-May-19,481.95,486.55,463.1,471.6,478.5240008,1122315,14134,537054664,162678,14.49,23.45,-10.35
14-May-19,467.7,478.4,456.6,469.75,466.7917421,1054606,13889,492281372,58317,5.53,21.8,2.05
15-May-19,473.7,480.7,461,463.2,472.2219698,621864,8356,293657843,76293,12.27,19.7,-10.5
16-May-19,464.85,471.5,455.5,469.25,464.3207747,738774,9212,343028116,43336,5.87,16,4.4
17-May-19,465.9,471.45,461,469.55,466.6753993,344685,4952,160856010,42255,12.26,10.45,3.65
20-May-19,479.45,494.2,477,483.15,486.3366134,567259,8383,275878821,88964,15.68,17.2,3.7
21-May-19,484.8,485,469.8,473.5,474.2727159,401161,6383,190259717,71982,17.94,15.2,-11.3
22-May-19,472.85,480,467.3,473.7,473.4145507,375597,6167,177813085,46843,12.47,12.7,0.85
23-May-19,478.9,486.5,463,465.9,475.9608673,575452,7715,273892633,93048,16.17,23.5,-13
24-May-19,465.9,486,458.7,483.5,474.3394781,645052,8926,305973629,106695,16.54,27.3,17.6
27-May-19,483.2,513.2,483.05,511.45,505.3758693,972189,13273,491320861,148950,15.32,30.15,28.25
28-May-19,513,518.1,505.55,507.3,511.2707214,601829,6474,307697547,101813,16.92,12.55,-5.7
29-May-19,506.2,511.75,491.35,493.3,499.4651814,536739,7793,268082442,133393,24.85,20.4,-12.9
30-May-19,494,496.05,486.65,489.1,490.4464735,349808,4887,171562100,54881,15.69,9.4,-4.9
31-May-19,492.9,494.9,481.4,487.9,486.8643171,591762,5871,288107802,97033,16.4,13.5,-5
03-Jun-19,487,501.2,485.35,496.5,495.7324712,449047,6217,222607179,68713,15.3,15.85,9.5
04-Jun-19,498.85,502.75,492.65,497.15,497.3835829,296679,3862,147563264,41834,14.1,10.1,-1.7
06-Jun-19,498,502.15,482.1,484.5,490.2703312,397357,5210,194812348,73582,18.52,20.05,-13.5
07-Jun-19,483.65,489.8,476,482.15,482.7433255,436884,7952,210902835,72102,16.5,13.8,-1.5
10-Jun-19,488.8,494.5,483.5,486.7,488.8710777,348233,6620,170241042,55104,15.82,11,-2.1
11-Jun-19,489.85,493.85,487.3,492.8,490.6833665,270881,3844,132916801,32081,11.84,6.55,2.95
12-Jun-19,493,508,491,505.6,503.3663619,678523,8497,341545654,118038,17.4,17,12.6
13-Jun-19,504.8,505.8,497,502.85,502.0097872,278628,4212,139873983,22359,8.02,8.8,-1.95
14-Jun-19,500.5,508.2,497.15,501.45,504.3095506,344438,4357,173703373,52894,15.36,11.05,0.95
17-Jun-19,499,501,471.7,473.05,481.5433259,747901,8741,360146735,200042,26.75,29.3,-25.95
18-Jun-19,474.4,478.4,463.65,472.75,470.4596978,629407,7537,296110627,98623,15.67,14.75,-1.65
19-Jun-19,480.2,498,480.2,494.5,489.7441373,725647,9193,355381364,130105,17.93,17.8,14.3
20-Jun-19,494.9,502.55,489.7,500.85,496.927452,434154,5857,215743041,94601,21.79,12.85,5.95
21-Jun-19,499.35,500.75,494.4,497.75,497.5721528,292331,3660,145455765,32806,11.22,6.35,-1.6
24-Jun-19,497,499.85,481.85,486.15,488.9283732,452177,5738,221082165,86939,19.23,18,-10.85
25-Jun-19,479.5,499.65,474.15,497.6,490.1902699,720692,8739,353276206,72134,10.01,25.5,18.1
26-Jun-19,495.25,512.25,492.6,510.5,502.4137025,597758,11387,300321810,174903,29.26,19.65,15.25
27-Jun-19,511.95,516.4,507,510.7,512.3502153,568359,8098,291198856,82757,14.56,9.4,-1.25
28-Jun-19,511,515.3,499.3,504.4,505.18656,468600,7447,236730422,56540,12.07,16,-6.6
01-Jul-19,509.1,514.75,503.65,506.85,507.8858072,323672,4734,164388415,33714,10.42,11.1,-2.25
02-Jul-19,509.9,510.85,501.95,508.35,506.9237115,308028,4260,156146697,31648,10.27,8.9,-1.55
03-Jul-19,509.9,514.7,504.6,510.5,510.6106134,475209,8041,242646759,98625,20.75,10.1,0.6
04-Jul-19,500.7,502.5,493.9,495.35,498.8273362,437318,5304,218146173,132266,30.24,8.6,-5.35
05-Jul-19,498.1,498.2,474.55,478.15,486.6020479,646525,8790,314600389,179031,27.69,23.65,-19.95
08-Jul-19,475,479.2,465.5,468,471.7697348,631233,9439,297796625,137903,21.85,13.7,-7
09-Jul-19,469,472.1,462.7,468.35,468.0915379,483876,9067,226498261,93137,19.25,9.4,-0.65
10-Jul-19,470.2,474.05,448.1,454.6,457.6484394,794634,13877,363663010,153711,19.34,25.95,-15.6
11-Jul-19,460.35,466.5,454,461.8,460.4829327,690210,9593,317829925,80171,11.62,12.5,1.45
12-Jul-19,464,479.6,460.55,472.6,472.8611068,918850,10837,434488428,124010,13.5,19.05,8.6
15-Jul-19,476.8,478,463.35,468.2,467.7231784,569009,6415,266138698,165592,29.1,14.65,-8.6
16-Jul-19,465.95,478.6,464.1,476.5,474.5193555,344785,5018,163607156,52483,15.22,14.5,10.55
17-Jul-19,475.2,479.7,469,475.7,474.7651908,371591,5422,176418472,48725,13.11,10.7,0.5
18-Jul-19,475,475,464,466.55,468.2789044,264259,3669,123746915,41233,15.6,11,-8.45
19-Jul-19,469.3,472.9,453.6,458.1,461.5836532,520972,6769,240472159,76531,14.69,19.3,-11.2
22-Jul-19,458.1,467,451.2,465.25,460.3569543,504566,5887,232280467,49042,9.72,15.8,7.15
23-Jul-19,466.75,467.8,457,460.15,460.8544312,355344,4579,163761857,43154,12.14,10.8,-6.6
24-Jul-19,459,462.9,443.25,446.05,449.0666771,512005,8587,229924384,94016,18.36,19.65,-12.95
25-Jul-19,448,451.85,438.45,440.35,443.0111932,473056,6077,209569103,82748,17.49,13.4,-7.65
26-Jul-19,441.5,447.95,435.75,445.25,443.5583343,385382,4941,170939398,45023,11.68,12.2,3.75
29-Jul-19,445.25,446.35,431.2,433.45,435.7335978,465379,5715,202781266,63257,13.59,15.15,-11.8
30-Jul-19,434.7,441.95,406.25,414.7,426.4326913,734348,8528,313149994,105600,14.38,35.7,-20
31-Jul-19,414.45,433.4,409.35,431.9,423.0858665,599291,7381,253551552,82022,13.69,24.05,17.45
01-Aug-19,428,431.65,415,419.55,422.6727034,582710,7599,246295611,75565,12.97,16.65,-8.45
02-Aug-19,414,417.2,404.75,409.05,410.5120031,699861,9136,287301341,81284,11.61,12.45,-4.95
05-Aug-19,402.3,404.95,389.75,399.1,395.9407129,693692,15575,274660905,76786,11.07,15.2,-3.2
06-Aug-19,393.75,407.9,393.65,400.85,402.5314732,714068,11142,287434844,69500,9.73,14.25,7.1
07-Aug-19,395.8,396.5,377.95,381.8,386.8582032,889498,18745,344109598,179438,20.17,18.55,-14
08-Aug-19,377.05,378.9,360.75,367.4,367.8412652,1269570,16395,467000235,168752,13.29,18.15,-9.65
09-Aug-19,370,373.7,361.1,362.35,367.6795303,739836,8597,272022553,96647,13.06,12.6,-7.65
13-Aug-19,362.9,367.6,345.5,348.4,355.4324154,1002092,11237,356175980,127315,12.7,22.1,-14.5
14-Aug-19,352,370.4,352,364.45,364.0900279,989871,11290,360402160,158932,16.06,18.4,12.45
16-Aug-19,360,366.65,355.75,362.85,361.1855451,658600,6552,237876800,41337,6.28,10.9,2.85
19-Aug-19,366.85,366.85,357.35,359.55,360.6060135,559504,7303,201760507,90942,16.25,9.5,-7.3
20-Aug-19,360,361.8,353.15,358.3,357.8606703,565156,7372,202247105,47685,8.44,8.65,-1.7
21-Aug-19,357.9,358.3,341.8,343.05,347.9853578,609402,7681,212062973,98987,16.24,16.5,-14.85
22-Aug-19,340,346.7,330.2,333.35,338.7571747,1910719,10696,647269770,1062462,55.61,16.5,-6.65
23-Aug-19,333.15,348.8,330,344.8,341.1960307,871292,8285,297281372,77020,8.84,18.8,11.65
26-Aug-19,347,348,322.45,337.9,332.8667698,1751660,19019,583069406,127604,7.28,25.55,-9.1
27-Aug-19,340.15,354.45,340.15,350.95,349.6787235,1065842,10942,372702270,102610,9.63,14.3,10.8
28-Aug-19,350,350.6,333.6,336.85,340.7152886,809265,8484,275728958,110760,13.69,17,-13.15
29-Aug-19,334.4,342.35,328.55,335.55,334.8688238,880381,9633,294812150,56988,6.47,13.8,1.15
30-Aug-19,341.7,347,337.15,344.95,342.87539,946537,14610,324544243,102463,10.82,9.85,3.25
03-Sep-19,341.6,341.6,329.2,331.4,334.5435722,523728,6276,175209836,83358,15.92,12.4,-10.2
04-Sep-19,329.9,341,327.35,339.35,334.2363848,919319,8923,307269859,70376,7.66,13.65,9.45
05-Sep-19,345.2,352,342.5,345,346.7615977,931266,9247,322927286,149083,16.01,9.5,-0.2
06-Sep-19,346.95,357.8,342.85,355.3,350.192831,619169,7528,216828545,76865,12.41,14.95,8.35
09-Sep-19,356,360.6,348.35,353.5,354.8842856,964798,9357,342391649,74118,7.68,12.25,-2.5
11-Sep-19,356.1,368.35,355.5,367.1,363.7696345,808945,8030,294269627,83882,10.37,12.85,11
12-Sep-19,367,379.9,362.9,364.5,371.2000782,1230534,10902,456774317,190673,15.5,17,-2.5
13-Sep-19,367.9,368.95,357.9,367.25,362.9288577,805990,8033,292517030,43142,5.35,11.05,-0.65
16-Sep-19,363,366.4,358.7,361.15,362.2914427,483728,5272,175250515,41922,8.67,7.7,-1.85
17-Sep-19,361.15,365.95,342.25,344.45,355.4709729,934610,8404,332226726,157864,16.89,23.7,-16.7
18-Sep-19,347.2,361,345.6,358.05,354.5566845,875266,9225,310331411,80332,9.18,15.4,10.85
19-Sep-19,356.9,356.9,340.95,344.95,346.3268113,777418,9379,269240697,102570,13.19,15.95,-11.95
20-Sep-19,345.55,380.7,344.25,369.1,365.7288863,1655951,19656,605629115,204363,12.34,36.45,23.55
23-Sep-19,376,388,369.1,377.5,377.6070139,1405467,15071,530714197,173147,12.32,18.9,1.5
24-Sep-19,381,381,368.25,370.65,372.8578217,725561,7995,270531094,75348,10.38,12.75,-10.35
25-Sep-19,368.7,368.7,357.6,362.15,361.4216016,644656,8195,232992604,74902,11.62,11.1,-6.55
26-Sep-19,364.3,379.3,363.5,376.1,371.2147923,1129212,10473,419180198,256833,22.74,15.8,11.8
27-Sep-19,374,374.05,358,359.55,363.9099868,738325,8582,268683841,130479,17.67,16.05,-14.45
30-Sep-19,355.9,363.5,345.8,359.8,352.1409937,741551,8556,261130506,67328,9.08,17.7,3.9
01-Oct-19,364.8,364.8,344.25,351.4,352.7100782,731887,7725,258143921,67642,9.24,20.55,-13.4
03-Oct-19,348.8,348.95,338.6,339.6,343.3082647,735115,8941,252371055,117861,16.03,10.35,-9.2
04-Oct-19,342.15,344.9,331.25,333.1,339.0020387,714654,9312,242269163,92916,13,13.65,-9.05
07-Oct-19,336.8,338.25,323.3,324.8,330.3609762,801906,9389,264918449,113112,14.11,14.95,-12
09-Oct-19,323.8,338,320.3,336.35,327.9251408,784980,9558,257414677,80903,10.31,17.7,12.55
10-Oct-19,332.6,334.5,328,329.7,330.541026,602605,6623,199185675,59299,9.84,6.5,-2.9
11-Oct-19,333.25,342.5,332.05,339.4,338.2933426,1490561,10116,504246863,653123,43.82,10.45,6.15
14-Oct-19,346,352.45,341.65,344.85,347.7627691,807968,8854,280981189,84309,10.43,10.8,-1.15
15-Oct-19,345.5,358.25,338.8,349.1,347.3805737,1591978,12032,553022231,330916,20.79,19.45,3.6
16-Oct-19,354.4,354.7,345.4,347.45,348.4243362,773910,7915,269649078,118319,15.29,9.3,-6.95
17-Oct-19,346.95,361.25,340.4,355.65,348.4143002,992780,10334,345898749,124830,12.57,20.85,8.7
18-Oct-19,355.65,362.6,351.8,359.9,357.7423059,949622,9253,339719964,104995,11.06,10.8,4.25
22-Oct-19,356.95,363.65,353,354.25,358.3657707,763049,6840,273450643,74032,9.7,10.65,-2.7
23-Oct-19,354,358.7,349.4,356.1,354.6787634,460539,5001,163343403,37693,8.18,9.3,2.1
24-Oct-19,356,362.05,353.85,359.85,357.9452827,728198,5871,260655039,73261,10.06,8.2,3.85
25-Oct-19,355,368.8,355,361.45,364.0198806,1023563,8547,372597281,158582,15.49,13.8,6.45
27-Oct-19,364.4,365.75,363.3,365.1,364.7481927,69164,1260,25227444,23854,34.49,2.45,0.7
29-Oct-19,365.2,399.65,365.2,391,387.411318,1492750,15583,578308245,162333,10.87,34.45,25.8
30-Oct-19,390,394.2,384.3,388.05,388.709362,990452,8347,384997965,159235,16.08,9.9,-1.95
31-Oct-19,388.6,390.25,376.3,380.5,383.6940998,1008502,10885,386956267,116371,11.54,13.95,-8.1
01-Nov-19,376,402.45,376,399.85,391.1935791,1117078,12984,436993741,124978,11.19,26.45,23.85
04-Nov-19,402,421.65,402,409.15,414.8754684,1325037,16926,549725346,165355,12.48,19.65,7.15
05-Nov-19,413.25,417.8,401.65,404,410.4610269,1370625,13535,562588145,183597,13.4,16.15,-9.25
06-Nov-19,400.65,408.75,398.9,404.35,403.7259745,1105481,10748,446311394,116646,10.55,9.85,3.7
07-Nov-19,404.5,408.7,389,403.15,398.8663461,2434916,23963,971206048,131865,5.42,19.7,-1.35
08-Nov-19,402.5,406,395.25,397.8,400.3754571,1147199,12210,459310324,77096,6.72,10.75,-4.7
11-Nov-19,397.5,403.8,394.5,401.45,400.1698475,679851,6749,272055871,55858,8.22,9.3,3.95
13-Nov-19,401.75,408.45,392.65,396.85,403.6060983,1043697,9749,421242474,102155,9.79,15.8,-4.9
14-Nov-19,396,398.6,389.4,391.95,393.3583133,583922,5263,229690573,65927,11.29,9.2,-4.05
15-Nov-19,392.5,403,390.65,394.4,396.526952,679318,6418,269367896,40681,5.99,12.35,1.9
18-Nov-19,397.4,412.55,396.1,410.2,406.0396754,1077292,10654,437423294,136590,12.68,16.45,12.8
19-Nov-19,412,414.85,400.2,401.9,406.5975384,920381,8973,374224649,84188,9.15,14.65,-10.1
20-Nov-19,400.95,408.5,397.15,398.55,402.0116014,707241,9375,284319087,49411,6.99,11.35,-2.4
21-Nov-19,399.55,399.55,383.5,385.2,391.5964413,668329,8332,261715258,134770,20.17,16.05,-14.35
22-Nov-19,386.9,402.65,383.25,399.6,392.136656,967246,11553,379292612,92319,9.54,19.4,12.7
25-Nov-19,405,421.15,404,419.55,414.8206982,1345067,16202,557961632,262264,19.5,17.15,14.55
26-Nov-19,424.1,429.1,417,424.45,424.0129621,1391057,17357,589826199,127109,9.14,12.1,0.35
27-Nov-19,425.9,427,419,421.35,422.4221059,800728,10286,338245208,95808,11.97,8,-4.55
28-Nov-19,422.4,434.35,422.4,432,429.1978417,1069800,12627,459155851,155613,14.55,11.95,9.6
29-Nov-19,425,429.5,421.25,427.4,425.7181864,726019,9866,309079492,64379,8.87,8.25,2.4
02-Dec-19,424.7,427,419,420.8,422.6964809,528283,6332,223303365,49382,9.35,8,-3.9
03-Dec-19,418.9,419.4,396.7,399.45,405.2558369,809629,10780,328106878,137958,17.04,22.7,-19.45
04-Dec-19,393,411.45,389.05,409.1,399.1509326,1510707,20613,603000108,145017,9.6,22.4,16.1
05-Dec-19,410.85,412,397.2,399.65,403.1250015,665024,8893,268087801,81395,12.24,14.8,-11.2
06-Dec-19,401,407.4,394.25,402.95,402.3005193,887527,12092,357052573,63822,7.19,13.15,1.95
09-Dec-19,403,411.7,402.25,406.45,408.2462234,653821,7531,266919954,67657,10.35,9.45,3.45
10-Dec-19,405.95,409.5,400.15,402.2,404.9267231,534643,5739,216491238,31808,5.95,9.35,-3.75
11-Dec-19,402.55,408,400.45,405.4,404.1475983,431665,5914,174456373,48634,11.27,7.55,2.85
12-Dec-19,409.4,420.9,407.45,418.75,416.0370049,773736,8870,321902808,95771,12.38,13.45,9.35
13-Dec-19,429.3,434.5,423.6,428.75,428.8140008,1017026,16110,436114988,158561,15.59,10.9,-0.55
16-Dec-19,431.9,432.2,420,421.05,424.3854008,506823,7197,215088282,65376,12.9,12.2,-10.85
17-Dec-19,423.95,441.75,423.3,439.5,436.1192326,1480241,18567,645561569,156000,10.54,18.45,15.55
18-Dec-19,439.5,454.7,436.15,444.6,446.1318278,2273519,25691,1014289187,111321,4.9,18.55,5.1
19-Dec-19,440.6,449.3,438.2,446.75,443.2016327,1220819,13072,541068974,57755,4.73,11.1,6.15
20-Dec-19,445.95,463.3,444,461.2,456.211039,1694417,19426,773011740,133940,7.9,19.3,15.25
23-Dec-19,461.5,467.55,457.15,462.05,462.5350343,856474,11565,396149231,82659,9.65,10.4,0.55
24-Dec-19,462.1,464.55,459.4,462.9,462.565267,563217,7230,260524622,67592,12,5.15,0.8
26-Dec-19,463.5,471.65,463.5,467.8,468.6344967,837385,10298,392427498,68386,8.17,8.15,4.3
27-Dec-19,468.75,471.65,463.2,469.75,467.6710992,634775,7118,296865922,56850,8.96,8.45,1
30-Dec-19,470.9,476,465.05,474.7,470.3941465,523790,7757,246387750,69279,13.23,10.95,3.8
31-Dec-19,473,475.25,470.2,472,472.5484498,406679,5782,192175531,39888,9.81,5.05,-1
01-Jan-20,473.1,476.45,465,467.75,469.5284246,608785,7473,285841862,77607,12.75,11.45,-5.35
02-Jan-20,472.75,487.75,472.15,484.95,481.0566783,861352,12571,414359132,152370,17.69,15.6,12.2
03-Jan-20,483,486.15,479.5,483.75,482.823029,597211,8326,288347224,81399,13.63,6.65,0.75
06-Jan-20,480,480,470.65,473.2,475.0739023,463003,6354,219960642,57364,12.39,9.35,-6.8
07-Jan-20,477.4,484.6,473.6,475.65,479.5056032,465361,7220,223143207,45488,9.77,11,-1.75
08-Jan-20,471.5,477.95,467,475.55,472.4487501,522099,7525,246665020,36141,6.92,10.95,4.05
09-Jan-20,484,486.2,479.4,483,482.8405244,359403,6601,173534333,49955,13.9,6.8,-1
10-Jan-20,484.3,493.9,479.95,486.55,487.0044001,854074,12665,415937796,224753,26.32,13.95,2.25
13-Jan-20,490.2,496.9,488.05,495.55,492.9856638,435821,6560,214853505,68409,15.7,8.85,5.35
14-Jan-20,497,505.95,495.85,498.45,500.7242746,692439,9578,346721016,86799,12.54,10.1,1.45
15-Jan-20,492.5,503.6,489.35,501.95,497.6166106,643166,8347,320050085,69377,10.79,14.25,9.45
16-Jan-20,502.9,504.35,492.2,494.2,495.0356723,397423,5553,196738562,55269,13.91,12.15,-8.7
17-Jan-20,494,498.9,492.4,495.3,495.8533939,264225,3958,131016863,35736,13.52,6.5,1.3
20-Jan-20,498.4,499.5,489.15,490.65,492.259335,519151,6959,255556926,248181,47.81,10.35,-7.75
21-Jan-20,487.1,488.6,473.7,475.9,480.8924502,535045,7778,257299101,173160,32.36,14.9,-11.2
22-Jan-20,478.1,479.8,473.05,474.8,476.6413661,675045,7804,321754371,350421,51.91,6.75,-3.3
23-Jan-20,477,482,473.4,480.35,479.0155971,663650,9132,317898701,344560,51.92,8.6,3.35
24-Jan-20,480.35,484.9,476.6,483.25,482.3865033,556047,9294,268229568,264710,47.61,8.3,2.9
27-Jan-20,477.6,477.6,460.25,462.4,466.7300095,651708,10562,304171681,256439,39.35,17.35,-15.2
28-Jan-20,460.5,461.65,441.95,446.25,451.3405044,676423,15188,305297098,134866,19.94,19.7,-14.25
29-Jan-20,453.2,459.45,449.75,452.1,455.4020999,709545,10804,323128283,265172,37.37,9.7,-1.1
30-Jan-20,452.1,454.25,441.65,448.4,447.1207854,565623,8930,252901800,89129,15.76,12.6,-3.7
31-Jan-20,451,454.35,436.5,438.75,444.6830788,439838,8034,195588516,65162,14.82,17.85,-12.25
01-Feb-20,432,439.8,420,423.6,431.2647835,791390,12852,341298637,91749,11.59,19.8,-8.4
03-Feb-20,420,438.5,416.9,436.55,428.2309841,999766,14722,428130778,184527,18.46,21.6,16.55
04-Feb-20,441.1,453.2,433.8,452.05,446.8813154,578820,8972,258663843,62879,10.86,19.4,10.95
05-Feb-20,452.05,479,448.05,475.3,461.7189938,1224343,14400,565302418,156674,12.8,30.95,23.25
06-Feb-20,477.3,487.25,471.85,477.95,480.9347428,991967,12061,477071394,188111,18.96,15.4,0.65
07-Feb-20,477.25,479.7,468.95,470.95,473.6047272,912074,9630,431962558,405444,44.45,10.75,-6.3
10-Feb-20,460.3,465,440.1,443.65,447.1493324,1079766,14831,482816646,197161,18.26,24.9,-16.65
11-Feb-20,446.25,457.15,442.85,444.25,451.1991645,745650,9892,336436657,53144,7.13,14.3,-2
12-Feb-20,450,454.4,442.7,447.95,448.1077714,460317,7060,206271625,48437,10.52,11.7,-2.05
13-Feb-20,449.25,451.55,439.55,440.9,444.0202586,502404,7174,223077554,103528,20.61,12,-8.35
14-Feb-20,442,445.4,432.5,434.05,439.9195248,511698,6748,225105941,86486,16.9,12.9,-7.95
17-Feb-20,436.3,440.8,433,436.85,437.5903203,520863,6395,227924607,51387,9.87,7.8,0.55
18-Feb-20,434.6,434.75,421.35,431.65,426.6187945,940944,8932,401424395,56421,6,13.4,-2.95
19-Feb-20,436.1,438.45,428.35,432.95,433.3220096,477846,6165,207061189,46310,9.69,10.1,-3.15
20-Feb-20,429.85,447.5,428.25,443.7,441.656063,715570,9199,316035829,90894,12.7,19.25,13.85
24-Feb-20,436,436,413.3,415.35,424.9519165,816621,11722,347024659,155640,19.06,22.7,-20.65
25-Feb-20,419.95,425.4,414.35,421.35,420.6075586,619983,9279,260769536,46270,7.46,11.05,1.4
26-Feb-20,412.25,419.45,411.95,416.25,416.2018349,881795,9270,367004697,65929,7.48,7.5,4
27-Feb-20,415.9,415.9,407.3,412.8,411.3121589,540952,7471,222500135,73257,13.54,8.6,-3.1
28-Feb-20,401.9,401.9,373.45,381.55,383.9575641,1512233,19253,580633299,185921,12.29,28.45,-20.35
02-Mar-20,390,394.25,358,364.2,381.0755942,1127692,14883,429735899,112275,9.96,36.25,-25.8
03-Mar-20,372.05,391.4,370.25,387.6,379.8104493,883041,12628,335388199,101451,11.49,21.15,15.55
04-Mar-20,389.85,389.85,365.25,377,373.693234,1094300,14939,408932506,108248,9.89,24.6,-12.85
05-Mar-20,384,388,374.25,375.65,380.1934988,662743,7950,251970580,57156,8.62,13.75,-8.35
06-Mar-20,360,360,347.4,351.2,352.6484211,811795,10473,286278225,146533,18.05,12.6,-8.8
09-Mar-20,338,338,319.65,322.3,327.2198344,841056,13351,275210205,212818,25.3,18.35,-15.7
11-Mar-20,323.1,326,296.25,299.4,308.7472618,1153233,17903,356057531,259259,22.48,29.75,-23.7
12-Mar-20,276.9,291.8,267.35,286.8,279.6073781,1822756,23031,509656026,204526,11.22,24.45,9.9
13-Mar-20,272.25,331.8,252.2,325.45,304.018452,2267833,29415,689463078,236669,10.44,79.6,53.2
16-Mar-20,305,317.65,287,289.6,302.3921877,1131109,18592,342038525,268201,23.71,30.65,-15.4
